Japanese Chin,Low,0.0030818459601589447
Scottish Terrier,Low,0.006989888922403053
Bullmastiff,Low,0.006583347540424639
Golden Retriever,Low,0.08101976315685941
Flat-Coated Retriever,Low,0.013114238128335934
Chesapeake Bay Retriever,Low,0.004458840963634218
Spaniel,Low,0.04743419931019108
Labrador Retriever,High,1.0
Bearded Collie,Low,0.0020327069098920697
Poodle,Medium,0.1347356825305234
Boxer,Medium,0.2652748088599793
Great Pyrenees,Low,0.06637115916750816
Dachshund,Medium,0.23414160754330976
Cocker Spaniel,Low,0.047722712549014466
Akbash,Low,0.0008524254783418357
Pit Bull Terrier,High,0.4532280697152899
Beagle,Medium,0.2570128388391276
Shih Tzu,Medium,0.1398764638768311
American Staffordshire Terrier,Medium,0.11818551401256344
German Shepherd Dog,Medium,0.2854969640538733
Basset Hound,Low,0.048548909551099625
Mixed Breed,Medium,0.16509514379762108
American Bulldog,Low,0.08264592868477305
Siberian Husky,Low,0.04086396600789477
Wirehaired Terrier,Low,0.027553014307633798
Chihuahua,High,0.5886981495810001
Maltese,Low,0.0702529736534956
Great Dane,Low,0.05509291437713926
English Pointer,Low,0.0035277300565223664
Rat Terrier,Low,0.054201146184412415
Terrier,High,0.38654216883270165
Papillon,Low,0.02194012038870602
Yorkshire Terrier,Medium,0.11023828570679187
Lhasa Apso,Low,0.024628539205014885
Skye Terrier,Low,0.0007343973351868124
Anatolian Shepherd,Low,0.01416337717860281
Australian Cattle Dog / Blue Heeler,Medium,0.1367815036785438
Chow Chow,Low,0.019881185002557276
Staffordshire Bull Terrier,Low,0.027920212975227204
Australian Shepherd,Medium,0.1585642532097098
English Bulldog,Low,0.027356300735708758
Hound,Medium,0.19048430881407943
Bull Terrier,Low,0.01590757084967149
Pomeranian,Low,0.06550561945103799
Weimaraner,Low,0.01623542680287989
Belgian Shepherd / Malinois,Low,0.011317587504753911
Black Labrador Retriever,Medium,0.1020025441621969
Corgi,Low,0.04818171088350622
Shetland Sheepdog / Sheltie,Low,0.01893695985731709
Shepherd,Medium,0.30857802315974453
Basenji,Low,0.011553643791063958
Bichon Frise,Low,0.026149790827901854
Jack Russell Terrier,Low,0.09464545657220044
Bernese Mountain Dog,Low,0.005822721728981154
Fox Terrier,Low,0.008747196831600069
Border Collie,Medium,0.15859048168596646
Pointer,Low,0.04246390305955176
West Highland White Terrier / Westie,Low,0.017009166852451706
Retriever,Medium,0.10112389020759839
Doberman Pinscher,Low,0.04287044444153017
English Springer Spaniel,Low,0.007501344209408154
Plott Hound,Low,0.024536739538116532
Schnauzer,Low,0.0764560082881985
Shar-Pei,Low,0.026398961352340235
Redbone Coonhound,Low,0.010924160360903833
Yellow Labrador Retriever,Low,0.05199795417885198
Miniature Poodle,Low,0.0035015015802656946
Mountain Cur,Low,0.014438776179297863
Collie,Low,0.041467220961798223
Chinese Crested Dog,Low,0.006425976682884608
Xoloitzcuintli / Mexican Hairless,Low,0.0010753675265235466
English Setter,Low,0.006819403826734686
Miniature Schnauzer,Low,0.006583347540424639
Coonhound,Low,0.022267976341914415
Pug,Low,0.07001691736718556
Husky,Low,0.09081609903872634
Australian Terrier,Low,0.002399905577485476
English Coonhound,Low,0.003147417150800624
Pekingese,Low,0.022726974676406175
Wheaten Terrier,Low,0.010570075931438763
Bluetick Coonhound,Low,0.01144872988603727
Norfolk Terrier,Low,0.004288355867965851
Feist,Low,0.011527415314807287
Catahoula Leopard Dog,Low,0.06343356982676092
Cairn Terrier,Low,0.031618428127417934
Australian Kelpie,Low,0.006924317731761373
Maltipoo,Low,3.9342714385007805e-05
Saint Bernard,Low,0.019684471430632237
Dutch Shepherd,Low,0.008248855782723302
Rottweiler,Low,0.06428599530510275
Chocolate Labrador Retriever,Low,0.033441307227256634
Black Mouth Cur,Low,0.017704221473253512
Wirehaired Pointing Griffon,Low,0.0012327383840635777
Parson Russell Terrier,Low,0.013507665272186012
Ibizan Hound,Low,0.0006163691920317889
Spitz,Low,0.003960499914757452
Miniature Pinscher,Low,0.06283031487285747
Akita,Low,0.012851953365769216
German Shorthaired Pointer,Low,0.016379683422291583
Mastiff,Low,0.039749255766986215
Dogue de Bordeaux,Low,0.0027146472925655384
Cattle Dog,Low,0.05778133319344813
Rhodesian Ridgeback,Low,0.011527415314807287
Tibetan Terrier,Low,0.0033047880083406553
Boston Terrier,Low,0.03675920947372562
Bloodhound,Low,0.009048824308551794
Treeing Walker Coonhound,Low,0.018215676760258613
Dalmatian,Low,0.012051984839940723
Neapolitan Mastiff,Low,0.0017704221473253511
Brittany Spaniel,Low,0.0056915793476977955
Whippet,Low,0.011317587504753911
Eskimo Dog,Low,0.0006819403826734686
Border Terrier,Low,0.009297994832990177
Affenpinscher,Low,0.002006478433635398
Shiba Inu,Low,0.010281562692615372
Carolina Dog,Low,0.004589983344917577
American Eskimo Dog,Low,0.008261970020851639
Cardigan Welsh Corgi,Low,0.004406384011120874
Cavalier King Charles Spaniel,Low,0.011737243124860661
White German Shepherd,Low,0.002635961863795523
Irish Wolfhound,Low,0.0024523625299988196
German Spitz,Low,0.00020982781005337496
French Bulldog,Low,0.008602940212188373
Norwegian Lundehund,Low,7.868542877001561e-05
Vizsla,Low,0.007383316066253131
Brussels Griffon,Low,0.008524254783418358
Silky Terrier,Low,0.006793175350478014
English Foxhound,Low,0.00014425661941169527
Boykin Spaniel,Low,0.001009796335881867
Patterdale Terrier / Fell Terrier,Low,0.0018359933379670308
Airedale Terrier,Low,0.0036851009140623976
Irish Terrier,Low,0.001573708575400312
Black and Tan Coonhound,Low,0.007462001495023147
Cockapoo,Low,0.007396430304381467
Irish Setter,Low,0.0012983095747052574
Newfoundland Dog,Low,0.0069112034936330375
Samoyed,Low,0.002163849291175429
Mountain Dog,Low,0.0013638807653469371
Setter,Low,0.0020458211480204056
Alaskan Malamute,Low,0.0066358044929379825
Kerry Blue Terrier,Low,5.245695251334374e-05
Standard Schnauzer,Low,0.001009796335881867
English Cocker Spaniel,Low,0.0007606258114434841
Pharaoh Hound,Low,0.0022556489580737808
Toy Fox Terrier,Low,0.0029375893407472494
Norwegian Elkhound,Low,0.0026097333875388508
Hamiltonstovare,Low,2.622847625667187e-05
Glen of Imaal Terrier,Low,0.0005114552870051014
Sheep Dog,Low,0.0013245380509619294
Havanese,Low,0.013638807653469372
Italian Greyhound,Low,0.014294519559886169
Foxhound,Low,0.007894771353258232
Caucasian Sheepdog / Caucasian Ovtcharka,Low,0.00020982781005337496
Klee Kai,Low,0.00020982781005337496
Beauceron,Low,0.00031474171508006244
Gordon Setter,Low,0.0008393112402134998
Leonberger,Low,0.0007343973351868124
Boerboel,Low,0.0007606258114434841
Giant Schnauzer,Low,0.0017179651948120074
Lancashire Heeler,Low,0.0005114552870051014
Greyhound,Low,0.045257235780887306
Rough Collie,Low,0.0010491390502668748
Standard Poodle,Low,0.00709480282742974
Manchester Terrier,Low,0.006609576016681311
Schipperke,Low,0.0034490446277523506
Clumber Spaniel,Low,0.00038031290572174207
Finnish Spitz,Low,0.0006819403826734686
Wire Fox Terrier,Low,0.004144099248554156
American Foxhound,Low,0.0005639122395184452
Old English Sheepdog,Low,0.0015605943372719762
Presa Canario,Low,0.0013507665272186012
Keeshond,Low,0.0013901092416036091
Cane Corso,Low,0.008694739879086725
Pyrenean Shepherd,Low,9.179966689835154e-05
Belgian Shepherd / Tervuren,Low,0.0007081688589301405
Canaan Dog,Low,0.0012196241459352419
Smooth Collie,Low,0.000983567859625195
Belgian Shepherd / Sheepdog,Low,0.0004327698582350858
Petit Basset Griffon Vendeen,Low,0.0018884502904803746
Munsterlander,Low,5.245695251334374e-05
Karelian Bear Dog,Low,0.00013114238128335935
Fila Brasileiro,Low,0.0003671986675934062
Norwich Terrier,Low,0.0027802184832072183
Dogo Argentino,Low,0.0017573079091970153
Dandie Dinmont Terrier,Low,0.0005770264776467811
Tibetan Spaniel,Low,0.003173645627057296
Welsh Springer Spaniel,Low,0.00020982781005337496
German Pinscher,Low,0.0007343973351868124
Greater Swiss Mountain Dog,Low,0.000983567859625195
Saluki,Low,0.0017048509566836715
Black Russian Terrier,Low,0.00011802814315502341
Sussex Spaniel,Low,0.00010491390502668748
Otterhound,Low,0.00022294204818171088
Harrier,Low,0.0012983095747052574
Lowchen,Low,7.868542877001561e-05
English Shepherd,Low,0.0021113923386620855
German Wirehaired Pointer,Low,0.002334334386843796
Wirehaired Dachshund,Low,0.001376995003475273
Portuguese Podengo,Low,0.0006163691920317889
Welsh Terrier,Low,0.0008261970020851638
Bedlington Terrier,Low,0.00015737085754003122
Smooth Fox Terrier,Low,0.000983567859625195
Lakeland Terrier,Low,0.0005639122395184452
Blue Lacy,Low,0.0013245380509619294
Belgian Shepherd / Laekenois,Low,5.245695251334374e-05
Afghan Hound,Low,0.000393427143850078
McNab,Low,0.00044588409636342176
Tosa Inu,Low,0.0001835993337967031
Miniature Dachshund,Low,0.0009179966689835154
Jindo,Low,0.010688104074593786
Scottish Deerhound,Low,0.00014425661941169527
Entlebucher,Low,0.00020982781005337496
Curly-Coated Retriever,Low,0.00031474171508006244
Nova Scotia Duck Tolling Retriever,Low,0.0013638807653469371
Cirneco dell'Etna,Low,3.9342714385007805e-05
Spanish Water Dog,Low,6.557119064167967e-05
Peruvian Inca Orchid,Low,0.00010491390502668748
American Water Spaniel,Low,0.00013114238128335935
Appenzell Mountain Dog,Low,2.622847625667187e-05
Thai Ridgeback,Low,0.0001835993337967031
Borzoi,Low,6.557119064167967e-05
Kuvasz,Low,0.000196713571925039
Maremma Sheepdog,Low,0.00017048509566836714
English Toy Spaniel,Low,0.000196713571925039
Coton de Tulear,Low,0.00119339566967857
Sealyham Terrier,Low,9.179966689835154e-05
Briard,Low,0.00028851323882339054
Galgo Spanish Greyhound,Low,0.0004589983344917577
Pembroke Welsh Corgi,Low,0.000393427143850078
Tibetan Mastiff,Low,0.0005114552870051014
Kai Dog,Low,5.245695251334374e-05
Chiweenie,Low,0.000196713571925039
Swedish Vallhund,Low,0.00014425661941169527
Field Spaniel,Low,0.00011802814315502341
Polish Lowland Sheepdog,Low,0.00011802814315502341
Portuguese Water Dog,Low,0.00040654138197841397
Puli,Low,3.9342714385007805e-05
Bouvier des Flandres,Low,0.0005507980013901093
Hovawart,Low,3.9342714385007805e-05
Schnoodle,Low,2.622847625667187e-05
Spinone Italiano,Low,5.245695251334374e-05
New Guinea Singing Dog,Low,1.3114238128335935e-05
Finnish Lapphund,Low,7.868542877001561e-05
Bolognese,Low,9.179966689835154e-05
Chinook,Low,2.622847625667187e-05
Icelandic Sheepdog,Low,6.557119064167967e-05
Labradoodle,Low,2.622847625667187e-05
American Bully,Low,3.9342714385007805e-05
Komondor,Low,0.00017048509566836714
Goldendoodle,Low,3.9342714385007805e-05
American Hairless Terrier,Low,0.000196713571925039
Puggle,Low,3.9342714385007805e-05
Pumi,Low,3.9342714385007805e-05
Kyi Leo,Low,1.3114238128335935e-05
Miniature Bull Terrier,Low,2.622847625667187e-05
Norwegian Buhund,Low,3.9342714385007805e-05
Aussiedoodle,Low,1.3114238128335935e-05
Shih poo,Low,1.3114238128335935e-05
Sheepadoodle,Low,1.3114238128335935e-05
South Russian Ovtcharka,Low,1.3114238128335935e-05
Kishu,Low,1.3114238128335935e-05
